id,url
nhanes-dietary-p_dsqtot-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DSQTOT.htm
nhanes-dietary-dsqtot_l-2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DSQTOT_L.htm
nhanes-dietary-foodlk_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FOODLK_C.htm
nhanes-dietary-foodlk_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FOODLK_D.htm
nhanes-dietary-varlk_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/VARLK_C.htm
nhanes-dietary-varlk_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VARLK_D.htm
nhanes-dietary-ffqdc_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FFQDC_D.htm
nhanes-dietary-ffqdc_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FFQDC_C.htm
nhanes-dietary-ffqraw_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FFQRAW_D.htm
nhanes-dietary-ffqraw_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FFQRAW_C.htm
nhanes-examination-arx_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/ARX_F.htm
nhanes-examination-aux1-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUX1.htm
nhanes-examination-aux_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/AUX_E.htm
nhanes-examination-aux_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/AUX_D.htm
nhanes-examination-aux_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/AUX_C.htm
nhanes-examination-aux_b-2001,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/AUX_B.htm
nhanes-examination-aux_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/AUX_F.htm
nhanes-examination-aux_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/AUX_G.htm
nhanes-examination-aux_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/AUX_I.htm
nhanes-examination-aux_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/AUX_J.htm
nhanes-examination-p_aux-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_AUX.htm
nhanes-examination-auxar_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/AUXAR_F.htm
nhanes-examination-auxar_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/AUXAR_E.htm
nhanes-examination-auxar_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/AUXAR_D.htm
nhanes-examination-auxar-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.htm
nhanes-examination-auxar_b-2001,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/AUXAR_B.htm
nhanes-examination-auxar_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/AUXAR_C.htm
nhanes-examination-auxar_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/AUXAR_G.htm
nhanes-examination-auxar_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/AUXAR_I.htm
nhanes-examination-auxar_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/AUXAR_J.htm
nhanes-examination-p_auxar-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_AUXAR.htm
nhanes-examination-auxtym-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXTYM.htm
nhanes-examination-auxtym_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/AUXTYM_E.htm
nhanes-examination-auxtym_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/AUXTYM_D.htm
nhanes-examination-auxtym_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/AUXTYM_C.htm
nhanes-examination-auxtym_b-2001,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/AUXTYM_B.htm
nhanes-examination-auxtym_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/AUXTYM_F.htm
nhanes-examination-auxtym_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/AUXTYM_G.htm
nhanes-examination-auxtym_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/AUXTYM_I.htm
nhanes-examination-auxtym_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/AUXTYM_J.htm
nhanes-examination-p_auxtym-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_AUXTYM.htm
nhanes-examination-auxwbr_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/AUXWBR_J.htm
nhanes-examination-p_auxwbr-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_AUXWBR.htm
nhanes-examination-auxwbr_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/AUXWBR_I.htm
nhanes-examination-bax-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BAX.htm
nhanes-examination-bax_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BAX_C.htm
nhanes-examination-bax_b-2001,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/BAX_B.htm
nhanes-examination-bax_l-2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BAX_L.htm
